time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-01 00:00:00+00:00,182,69.0,52.2,0.45,0.768,0.45,0.768
2021-01-01 00:10:00+00:00,182,68.6,51.8,0.516,0.766,0.516,0.766
2021-01-01 00:20:00+00:00,182,69.2,51.6,0.712,0.944,0.712,0.944
2021-01-01 00:30:00+00:00,182,69.4,51.6,0.72,0.93,0.72,0.93
2021-01-01 00:40:00+00:00,182,69.6,51.8,0.932,1.382,0.932,1.382
2021-01-01 00:50:00+00:00,182,69.8,51.2,1.152,1.962,1.152,1.962
2021-01-01 01:00:00+00:00,182,70.0,51.0,1.33,1.724,1.33,1.724
2021-01-01 01:10:00+00:00,182,70.6,51.0,1.294,2.234,1.294,2.234
2021-01-01 01:20:00+00:00,182,70.4,51.2,1.528,2.57,1.528,2.57
2021-01-01 01:30:00+00:00,182,70.0,51.2,2.394,3.828,2.394,3.828
2021-01-01 01:40:00+00:00,182,71.0,51.0,3.512,4.836,3.512,4.836
2021-01-01 01:50:00+00:00,182,70.8,52.0,3.352,4.32,3.352,4.32
2021-01-01 02:00:00+00:00,182,70.2,52.0,3.38,3.966,3.38,3.966
2021-01-01 02:10:00+00:00,182,70.6,51.8,3.84,4.57,3.84,4.57
2021-01-01 02:20:00+00:00,182,70.0,52.0,3.758,3.74,3.758,3.74
2021-01-01 02:30:00+00:00,182,70.0,52.0,4.408,4.504,4.408,4.504
2021-01-01 02:40:00+00:00,182,69.4,52.2,5.84,6.424,5.84,6.424
2021-01-01 02:50:00+00:00,182,69.8,52.4,7.796,8.98,7.796,8.98
2021-01-01 03:00:00+00:00,182,69.6,52.0,10.184,10.592,10.184,10.592
2021-01-01 03:10:00+00:00,182,70.0,52.8,10.048,10.988,10.048,10.988
2021-01-01 03:20:00+00:00,182,69.6,52.4,12.42,13.652,12.42,13.652
2021-01-01 03:30:00+00:00,182,70.0,52.0,14.262,15.984,14.262,15.984
2021-01-01 03:40:00+00:00,182,70.0,51.8,15.488,17.204,15.488,17.204
2021-01-01 03:50:00+00:00,182,70.2,52.0,17.372,18.642,17.372,18.642
2021-01-01 04:00:00+00:00,182,70.6,51.6,17.564,19.248,17.564,19.248
2021-01-01 04:10:00+00:00,182,70.2,51.4,16.812,18.972,16.812,18.972
2021-01-01 04:20:00+00:00,182,70.8,51.6,16.596,19.254,16.596,19.254
2021-01-01 04:30:00+00:00,182,71.0,51.6,16.12,17.8,16.12,17.8
2021-01-01 04:40:00+00:00,182,71.0,51.4,14.732,16.95,14.732,16.95
2021-01-01 04:50:00+00:00,182,71.0,51.2,14.198,16.574,14.198,16.574
2021-01-01 05:00:00+00:00,182,71.0,51.6,12.716,15.584,12.716,15.584
2021-01-01 05:10:00+00:00,182,71.0,51.6,11.992,13.676,11.992,13.676
2021-01-01 05:20:00+00:00,182,71.2,51.6,9.656,11.436,9.656,11.436
2021-01-01 05:30:00+00:00,182,71.0,51.6,9.296,9.688,9.296,9.688
2021-01-01 05:40:00+00:00,182,71.0,51.6,8.134,10.038,8.134,10.038
2021-01-01 05:50:00+00:00,182,71.0,52.0,7.688,7.968,7.688,7.968
2021-01-01 06:00:00+00:00,182,70.6,51.8,5.78,6.942,5.78,6.942
2021-01-01 06:10:00+00:00,182,70.0,52.0,4.982,5.816,4.982,5.816
2021-01-01 06:20:00+00:00,182,70.4,52.0,4.036,5.02,4.036,5.02
2021-01-01 06:30:00+00:00,182,70.4,51.2,3.542,4.38,3.542,4.38
2021-01-01 06:40:00+00:00,182,71.2,51.4,2.934,3.764,2.934,3.764
2021-01-01 06:50:00+00:00,182,72.0,52.0,3.962,4.496,3.962,4.496
2021-01-01 07:00:00+00:00,182,71.6,52.0,5.194,5.56,5.194,5.56
2021-01-01 07:10:00+00:00,182,71.4,52.0,5.962,6.226,5.962,6.226
2021-01-01 07:20:00+00:00,182,71.6,52.2,6.274,7.024,6.274,7.024
2021-01-01 07:30:00+00:00,182,71.4,52.4,5.37,5.832,5.37,5.832
2021-01-01 07:40:00+00:00,182,71.4,53.0,3.99,4.554,3.99,4.554
2021-01-01 07:50:00+00:00,182,71.8,52.8,3.408,3.956,3.408,3.956
2021-01-01 08:00:00+00:00,182,71.2,53.0,2.784,3.546,2.784,3.546
2021-01-01 08:10:00+00:00,182,71.2,53.0,2.816,3.356,2.816,3.356
2021-01-01 08:20:00+00:00,182,71.2,52.8,2.51,3.212,2.51,3.212
2021-01-01 08:30:00+00:00,182,71.4,52.4,2.412,2.392,2.412,2.392
2021-01-01 08:40:00+00:00,182,71.6,52.6,2.108,2.282,2.108,2.282
2021-01-01 08:50:00+00:00,182,71.2,52.8,1.916,2.69,1.916,2.69
2021-01-01 09:00:00+00:00,182,71.6,52.8,2.386,2.932,2.386,2.932
2021-01-01 09:10:00+00:00,182,71.8,52.8,2.546,2.708,2.546,2.708
2021-01-01 09:20:00+00:00,182,71.6,52.2,2.598,3.728,2.598,3.728
2021-01-01 09:30:00+00:00,182,71.8,52.0,4.032,4.492,4.032,4.492
2021-01-01 09:40:00+00:00,182,72.4,52.0,4.292,5.2,4.292,5.2
2021-01-01 09:50:00+00:00,182,72.2,51.6,4.016,4.396,4.016,4.396
2021-01-01 10:00:00+00:00,182,73.0,51.0,4.474,5.236,4.474,5.236
2021-01-01 10:10:00+00:00,182,73.0,51.8,4.434,4.774,4.434,4.774
2021-01-01 10:20:00+00:00,182,73.0,51.8,4.362,4.892,4.362,4.892
2021-01-01 10:30:00+00:00,182,72.6,51.8,5.292,5.77,5.292,5.77
2021-01-01 10:40:00+00:00,182,72.8,51.8,5.38,6.158,5.38,6.158
2021-01-01 10:50:00+00:00,182,72.8,51.0,4.392,4.62,4.392,4.62
2021-01-01 11:00:00+00:00,182,73.0,51.2,2.184,2.666,2.184,2.666
2021-01-01 11:10:00+00:00,182,73.0,51.2,1.576,2.194,1.576,2.194
2021-01-01 11:20:00+00:00,182,73.0,51.0,1.65,1.882,1.65,1.882
2021-01-01 11:30:00+00:00,182,73.6,50.8,1.18,1.89,1.18,1.89
2021-01-01 11:40:00+00:00,182,73.4,50.8,0.918,1.772,0.918,1.772
2021-01-01 11:50:00+00:00,182,73.6,51.0,0.864,1.45,0.864,1.45
2021-01-01 12:00:00+00:00,182,73.0,51.0,0.784,1.68,0.784,1.68
2021-01-01 12:10:00+00:00,182,73.0,50.4,0.616,1.316,0.616,1.316
2021-01-01 12:20:00+00:00,182,73.6,50.8,0.68,2.256,0.68,2.256
2021-01-01 12:30:00+00:00,182,73.0,51.0,0.618,1.332,0.618,1.332
2021-01-01 12:40:00+00:00,182,73.0,51.0,0.498,1.42,0.498,1.42
2021-01-01 12:50:00+00:00,182,73.2,51.0,0.32,1.126,0.32,1.126
2021-01-01 13:00:00+00:00,182,73.0,51.0,0.498,0.906,0.498,0.906
2021-01-01 13:10:00+00:00,182,73.2,50.6,0.346,1.03,0.346,1.03
2021-01-01 13:20:00+00:00,182,73.6,50.4,0.168,1.198,0.168,1.198
2021-01-01 13:30:00+00:00,182,74.0,50.4,0.098,0.924,0.098,0.924
2021-01-01 13:40:00+00:00,182,74.0,50.6,0.062,1.102,0.062,1.102
2021-01-01 13:50:00+00:00,182,74.0,50.4,0.072,1.096,0.072,1.096
2021-01-01 14:00:00+00:00,182,74.0,50.4,0.036,1.188,0.036,1.188
2021-01-01 14:10:00+00:00,182,74.0,50.0,0.24,1.842,0.24,1.842
2021-01-01 14:20:00+00:00,182,73.8,50.2,0.05,2.052,0.05,2.052
2021-01-01 14:30:00+00:00,182,74.0,50.4,0.062,1.646,0.062,1.646
2021-01-01 14:40:00+00:00,182,74.0,50.2,0.042,1.312,0.042,1.312
2021-01-01 14:50:00+00:00,182,74.0,50.2,0.08,1.398,0.08,1.398
2021-01-01 15:00:00+00:00,182,74.2,50.0,0.1,2.306,0.1,2.306
2021-01-01 15:10:00+00:00,182,74.2,50.2,0.094,1.97,0.094,1.97
2021-01-01 15:20:00+00:00,182,74.6,50.0,0.13,1.972,0.13,1.972
2021-01-01 15:30:00+00:00,182,75.0,50.4,0.112,1.802,0.112,1.802
2021-01-01 15:40:00+00:00,182,74.8,50.8,0.14,1.19,0.14,1.19
2021-01-01 15:50:00+00:00,182,74.6,50.0,0.066,1.572,0.066,1.572
2021-01-01 16:00:00+00:00,182,75.0,50.2,0.108,1.392,0.108,1.392
2021-01-01 16:10:00+00:00,182,74.8,50.2,0.082,2.294,0.082,2.294
2021-01-01 16:20:00+00:00,182,75.4,50.4,0.066,2.184,0.066,2.184
2021-01-01 16:30:00+00:00,182,75.2,50.4,0.0,2.18,0.0,2.18
2021-01-01 16:40:00+00:00,182,75.0,51.0,0.05,1.27,0.05,1.27
2021-01-01 17:50:00+00:00,182,74.5,51.0,0.195,0.38,0.195,0.38
